gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
1,0,0,0,0.4861111111111111,0,0,0,0,1,0,1,1,0,0.3079601990049751,0.1959342759764186,True,False,False,True,False,False,False,False,True,False,0
1,0,1,1,0.20833333333333331,1,0,1,0,0,0,0,0,0,0.5656716417910447,0.13259372697126015,False,True,False,True,False,False,False,False,False,True,0
1,0,1,1,0.18055555555555555,0,0,1,1,0,1,0,0,0,0.22189054726368157,0.06797508290346353,True,False,False,False,False,True,False,False,False,True,0
0,0,1,0,0.3611111111111111,1,0,0,1,1,0,1,1,1,0.5497512437810945,0.219429347826087,True,False,False,False,False,True,False,True,False,False,0
1,0,1,1,0.013888888888888888,1,0,0,0,0,0,0,0,0,0.2616915422885572,0.005129651805453206,True,False,False,True,False,False,False,False,True,False,0
1,0,0,1,0.9166666666666666,1,0,0,1,1,1,1,1,1,0.6094527363184079,0.5982981761238026,True,False,False,False,False,True,False,True,False,False,0
0,0,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,0,0.015422885572139305,0.002279845246868092,False,False,True,True,False,False,False,True,False,False,0
0,0,1,0,0.5555555555555556,1,1,0,1,0,0,0,0,0,0.381592039800995,0.273938375092115,True,False,False,True,False,False,False,True,False,False,0
0,0,1,0,0.9027777777777777,1,0,0,0,0,1,1,0,1,0.4134328358208955,0.4384902358142963,True,False,False,False,False,True,False,True,False,False,0
0,0,0,0,0.8333333333333333,1,1,0,0,1,1,1,1,0,0.6199004975124378,0.5581072678703022,True,False,False,False,True,False,False,True,False,False,0
0,1,0,0,0.06944444444444445,1,0,1,1,0,1,0,0,0,0.4144278606965174,0.03314411385408991,True,False,False,True,False,False,False,True,False,False,0
0,0,1,1,0.06944444444444445,1,0,1,0,0,0,0,0,1,0.30995024875621885,0.0267766672807664,True,False,False,True,False,False,False,False,False,True,0
0,0,0,0,0.027777777777777776,1,0,1,0,0,0,0,0,0,0.32537313432835824,0.014168432203389833,True,False,False,True,False,False,False,False,False,True,0
1,0,1,1,0.41666666666666663,1,1,1,1,1,1,0,0,0,0.4910447761194029,0.23031042741341198,True,False,False,True,False,False,False,False,True,False,0
1,0,1,0,0.5,1,1,0,0,0,0,1,1,1,0.7676616915422886,0.40003224023581435,False,True,False,True,False,False,False,False,True,False,0
0,0,1,1,0.7638888888888888,1,0,0,0,0,0,0,0,1,0.5054726368159204,0.44245117907148124,False,True,False,False,False,True,False,True,False,False,0
0,0,0,0,0.4305555555555555,1,1,1,0,1,0,0,0,1,0.6616915422885572,0.3009165438467208,False,True,False,True,False,False,False,True,False,False,0
0,1,1,1,0.38888888888888884,0,0,0,0,0,0,1,0,1,0.17562189054726368,0.11210966285924835,True,False,False,True,False,False,False,False,True,False,0
1,0,0,0,0.2222222222222222,1,0,0,0,0,0,0,0,0,0.006965174129353213,0.03762896094325719,False,False,True,False,False,True,False,True,False,False,0
1,0,0,0,0.08333333333333333,1,0,0,0,0,0,0,0,0,0.018905472636815884,0.015026252763448785,False,False,True,True,False,False,True,False,False,False,0
1,1,1,0,0.375,1,1,1,0,1,0,0,0,1,0.673134328358209,0.2556305268975682,False,True,False,False,True,False,False,False,True,False,0
1,0,0,0,0.8055555555555555,1,1,0,0,0,0,0,0,1,0.07014925373134329,0.16976211311717024,False,False,True,False,False,True,False,True,False,False,0
1,0,1,1,1.0,1,1,1,1,1,1,0,1,1,0.8621890547263681,0.8903659266764924,False,True,False,False,False,True,False,True,False,False,0
0,0,0,0,0.38888888888888884,0,0,0,0,1,1,0,0,1,0.17412935323383083,0.11069915254237289,True,False,False,True,False,False,False,False,False,True,0
1,0,1,1,0.5555555555555556,1,0,0,0,1,0,1,0,1,0.6646766169154228,0.38638195467944003,False,True,False,False,True,False,False,False,True,False,0
1,0,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,0,0.02238805970149252,0.002360445836403832,False,False,True,True,False,False,False,False,False,True,1
0,0,0,0,0.06944444444444445,1,0,0,0,0,0,0,1,1,0.6144278606965173,0.047496775976418576,False,True,False,True,False,False,False,False,True,False,1
0,0,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,1,0.5069651741293533,0.007967943994104644,False,True,False,True,False,False,False,False,True,False,1
0,0,0,1,0.16666666666666666,1,1,0,1,1,0,1,1,1,0.8661691542288558,0.1468830600589536,False,True,False,True,False,False,False,False,True,False,0
1,0,0,0,0.06944444444444445,1,0,0,0,0,1,1,1,1,0.7746268656716417,0.05220615327929256,False,True,False,True,False,False,False,False,True,False,1
1,0,1,0,0.986111111111111,1,0,1,1,1,1,1,1,1,0.6751243781094527,0.6961472918201916,True,False,False,False,False,True,True,False,False,False,0
1,0,0,0,0.041666666666666664,1,1,0,0,0,0,0,0,1,0.5840796019900497,0.026298820928518797,False,True,False,True,False,False,False,False,True,False,1
0,0,1,0,0.41666666666666663,1,0,0,0,0,0,0,0,0,0.013930348258706454,0.07551699521002211,False,False,True,True,False,False,True,False,False,False,1
0,0,1,0,0.3472222222222222,1,0,0,0,0,0,0,0,1,0.019402985074626844,0.058481484893146654,False,False,True,False,True,False,True,False,False,False,0
1,0,1,1,0.7222222222222222,1,1,0,0,0,0,0,0,0,0.06268656716417911,0.15326202100221079,False,False,True,False,False,True,False,False,False,True,0
0,1,0,0,0.6388888888888888,1,1,1,1,1,0,1,1,1,0.9129353233830845,0.5613025055268976,False,True,False,False,True,False,False,False,True,False,1
1,0,0,0,0.125,1,0,0,0,0,0,0,0,1,0.5199004975124378,0.06884441783345616,False,True,False,True,False,False,False,False,True,False,0
0,0,1,0,0.2638888888888889,1,1,0,0,0,0,1,0,1,0.6825870646766168,0.1801308032424466,False,True,False,True,False,False,False,False,True,False,0
0,0,0,0,0.16666666666666666,1,0,0,1,0,0,0,0,1,0.30995024875621885,0.07042764369933678,True,False,False,True,False,False,False,False,True,False,0
1,1,1,0,0.625,1,1,0,1,1,1,1,0,1,0.800497512437811,0.5211173544583642,False,True,False,False,True,False,True,False,False,False,0
0,0,1,1,0.5,1,1,1,0,1,0,1,1,1,0.8582089552238806,0.4242987748710391,False,True,False,True,False,False,False,True,False,False,0
1,0,0,0,0.5277777777777778,1,1,0,1,1,0,0,1,1,0.7646766169154228,0.4250184229918939,False,True,False,True,False,False,False,True,False,False,0
1,0,1,1,0.013888888888888888,1,0,0,0,0,0,0,0,0,0.009452736318407956,0.002210759027266028,False,False,True,True,False,False,False,False,False,True,0
1,0,1,0,0.1388888888888889,1,1,0,0,1,0,1,1,1,0.7985074626865671,0.11949037398673547,False,True,False,True,False,False,False,False,True,False,1
1,0,1,1,0.18055555555555555,1,0,0,0,0,0,0,0,0,0.2641791044776119,0.06438835666912308,True,False,False,True,False,False,True,False,False,False,0
1,0,0,0,0.25,1,1,0,0,1,1,1,1,1,0.6343283582089552,0.16413158621960208,True,False,False,False,True,False,False,True,False,False,1
0,0,1,0,0.5138888888888888,0,0,1,0,0,1,1,0,0,0.27014925373134324,0.18343542741341196,True,False,False,False,False,True,False,False,True,False,0
1,0,0,1,0.06944444444444445,1,0,0,0,0,0,0,0,0,0.020895522388059695,0.014047531319086221,False,False,True,True,False,False,False,True,False,False,0
1,0,0,0,0.15277777777777776,1,0,0,1,0,0,0,0,0,0.564179104477612,0.09389968680913782,False,True,False,True,False,False,False,False,True,False,1
1,0,0,1,0.8888888888888888,1,0,0,1,0,1,1,1,1,0.8049751243781095,0.7105747973470893,False,True,False,True,False,False,False,True,False,False,0
1,0,0,0,0.013888888888888888,1,0,0,0,0,0,0,1,0,0.3711442786069651,0.006396232498157702,True,False,False,True,False,False,False,False,False,True,0
1,1,1,0,0.5138888888888888,1,1,0,0,0,0,1,1,1,0.7388059701492538,0.3999401252763449,False,True,False,True,False,False,False,False,True,False,1
0,0,1,1,0.6666666666666666,1,1,1,1,0,0,1,1,1,0.8656716417910447,0.5754306374355196,False,True,False,True,False,False,False,True,False,False,0
1,1,1,0,0.2777777777777778,1,1,0,0,0,0,1,1,1,0.7592039800995024,0.21873272844509953,False,True,False,True,False,False,False,False,True,False,1
0,0,0,0,0.3611111111111111,1,1,1,1,0,0,1,0,1,0.5099502487562189,0.207264415991157,True,False,False,True,False,False,True,False,False,False,0
0,0,0,0,0.41666666666666663,1,0,0,0,0,0,0,0,0,0.011442786069651711,0.06661063006632278,False,False,True,False,False,True,False,True,False,False,0
0,0,0,0,0.9583333333333333,1,1,1,1,0,1,0,0,1,0.48407960199004973,0.5271163411938099,True,False,False,False,False,True,False,False,False,True,0
1,0,1,1,0.875,1,1,1,1,1,1,1,1,1,0.7079601990049752,0.6445341285924835,True,False,False,False,False,True,False,True,False,False,0
1,0,1,0,0.06944444444444445,1,0,0,0,0,0,0,0,0,0.010945273631840807,0.01451386330140015,False,False,True,True,False,False,False,False,False,True,1
1,0,1,0,0.5416666666666666,1,0,0,0,0,0,0,0,1,0.021890547263681587,0.09096352247605012,False,False,True,False,False,True,True,False,False,False,0
1,0,0,1,0.05555555555555555,1,1,0,1,0,0,1,1,1,0.8303482587064676,0.041975635593220345,False,True,False,True,False,False,False,False,True,False,1
1,0,1,0,0.8333333333333333,1,1,0,0,1,0,1,1,0,0.8248756218905472,0.6986228813559323,False,True,False,False,False,True,False,True,False,False,0
1,0,1,1,0.2638888888888889,1,1,0,0,1,1,1,1,0,0.8462686567164178,0.23174972365512164,False,True,False,True,False,False,False,False,True,False,1
0,0,1,0,0.15277777777777776,1,1,0,1,0,0,1,1,1,0.8333333333333334,0.13187983603537215,False,True,False,True,False,False,False,False,True,False,1
0,1,0,0,0.4305555555555555,1,1,0,1,0,0,1,1,1,0.8129353233830846,0.36692266949152547,False,True,False,True,False,False,False,False,True,False,1
1,0,0,0,0.41666666666666663,1,0,1,1,1,0,0,0,1,0.6572139303482587,0.28078942520265293,False,True,False,True,False,False,False,True,False,False,0
1,0,0,0,0.736111111111111,1,1,0,0,0,0,0,0,0,0.06318407960199005,0.14726879145173177,False,False,True,False,False,True,False,False,False,True,0
0,0,0,0,0.06944444444444445,1,0,0,1,0,1,0,1,1,0.707462686567164,0.05316184598378777,False,True,False,True,False,False,False,False,True,False,1
1,1,0,0,0.7083333333333333,1,1,0,1,0,0,0,0,1,0.6104477611940298,0.45766166175386885,False,True,False,False,True,False,True,False,False,False,0
0,0,1,0,0.986111111111111,1,1,1,1,1,1,1,1,0,0.7069651741293532,0.7356127947678703,True,False,False,False,False,True,False,True,False,False,0
0,0,0,1,0.8472222222222222,1,1,0,0,0,0,0,0,1,0.06716417910447761,0.1725255619012528,False,False,True,False,False,True,False,True,False,False,0
1,1,0,0,0.1111111111111111,1,0,0,1,0,0,0,0,1,0.5597014925373134,0.06984041083271923,False,True,False,True,False,False,False,False,True,False,1
1,0,1,0,0.1388888888888889,1,0,1,0,0,1,0,0,1,0.3651741293532338,0.06549949336772293,True,False,False,True,False,False,False,True,False,False,0
0,0,1,0,0.16666666666666666,0,0,0,0,1,0,1,1,1,0.3144278606965174,0.07106093404568903,True,False,False,True,False,False,True,False,False,False,0
1,0,1,0,0.9166666666666666,1,1,0,0,0,1,0,1,0,0.4537313432835821,0.4910418201915992,True,False,False,True,False,False,False,False,True,False,0
1,0,0,0,0.3333333333333333,1,0,1,1,0,1,0,0,0,0.41990049751243785,0.1658932848194547,True,False,False,True,False,False,True,False,False,False,0
0,0,1,1,0.05555555555555555,1,0,0,1,0,1,0,0,0,0.3805970149253731,0.027070283714075168,True,False,False,True,False,False,False,False,False,True,1
0,0,0,0,0.05555555555555555,1,1,0,1,0,0,0,1,1,0.7034825870646766,0.04089904200442152,False,True,False,True,False,False,False,False,True,False,1
0,0,0,1,0.4861111111111111,1,0,1,1,0,0,0,0,0,0.3716417910447761,0.23218151252763453,True,False,False,False,True,False,False,True,False,False,0
0,1,0,0,0.625,1,0,1,1,0,1,0,0,1,0.6711442786069651,0.43502441046425944,False,True,False,True,False,False,True,False,False,False,0
1,0,0,0,0.9027777777777777,1,1,1,0,1,1,1,1,1,0.9129353233830845,0.8219705692704496,False,True,False,False,True,False,False,True,False,False,0
0,0,1,1,0.19444444444444442,1,0,0,0,0,0,0,1,1,0.6233830845771144,0.1327376565954311,False,True,False,True,False,False,True,False,False,False,0
0,0,1,1,0.8472222222222222,0,0,1,1,0,1,0,1,1,0.32288557213930347,0.35565010132645547,True,False,False,False,True,False,True,False,False,False,0
1,0,1,1,0.9444444444444444,1,0,1,0,1,0,0,0,0,0.617910447761194,0.6189146554900516,False,True,False,False,False,True,False,True,False,False,0
0,0,1,1,0.3194444444444444,1,0,1,1,0,1,0,0,1,0.39303482587064675,0.14771209469417834,True,False,False,False,True,False,False,False,False,True,0
0,0,0,0,0.7638888888888888,1,0,0,1,1,0,0,0,1,0.6298507462686567,0.5192405121591748,False,True,False,True,False,False,False,False,True,False,0
1,0,1,1,0.9583333333333333,1,1,0,0,0,0,0,0,0,0.061691542288557194,0.19783990420044217,False,False,True,False,False,True,True,False,False,False,0
0,0,1,0,0.09722222222222221,1,0,1,0,1,1,1,1,0,0.6268656716417911,0.06679485998526162,True,False,False,True,False,False,True,False,False,False,0
0,0,1,1,1.0,1,1,1,0,0,0,0,0,0,0.6049751243781094,0.659853997789241,False,True,False,False,False,True,True,False,False,False,0
0,0,1,1,0.8472222222222222,1,0,1,0,0,0,0,0,1,0.3129353233830846,0.34098655121591753,True,False,False,False,True,False,True,False,False,False,0
1,1,1,0,0.8888888888888888,1,0,1,0,1,0,0,0,0,0.617412935323383,0.5777565401621224,False,True,False,False,True,False,False,True,False,False,0
